Theme,DataPoints,Unit_of_Measurement,Agartala,Agra,Ahmedabad,Aizawl,Ajmer,Aligarh,Allahabad,Amaravati,Amritsar,Aurangabad,Bareilly,Belgaum,Bengaluru,Bhopal,Bhubaneswar,Biharsharif,Bilaspur,Chandigarh,Chennai,Coimbatore,Dahod,Davangere,Dehradun,Dharamshala,Diu,Erode,Faridabad,Gandhinagar,Gangtok,Guwahati,Gwalior,Hubli_Dharwad,Imphal,Indore,Itanagar,Jabalpur,Jaipur,Jalandhar,Jammu,Jhansi,Kakinada,Kalyan_Dombivali,Kanpur,Karimnagar,Karnal,Kavaratti,Kohima,Kota,Lucknow,Ludhiana,Madurai,Mangalore,Moradabad,Muzaffarpur,Nagpur,Namchi,Nashik,Naya_Raipur,NDMC,New_Town_Kolkata,Panaji,Pasighat,Patna,Pimpri_Chinchwad,Portblair,Puducherry,Pune,Raipur,Rajkot,Ranchi,Rourkela,Sagar,Saharanpur,Salem,Satna,Shimla,Silvassa,Solapur,Srinagar,Surat,Thane,Thanjavur,Thoothukudi,Tiruchirappalli,Tirunelveli,Tirupati,Tiruppur,Tiruvanantapuram,Tumakuru,Udaipur,Ujjain,Vadodara,Varanasi,Vellore,Visakhapatnam,Warangal,Ref-Year
Energy,Inclusion of  Energy Conservation Building Code (ECBC) & certified green buildings in city Development Control Regulations,Categorial,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,2019
Energy,National Building Code (NBC) compliance available at state level,Categorial,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,2019
Mobility,City-wide document with mobility status assessment,Categorial,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2018
Mobility,CMP/LCMP/CTTS as per latest toolkit of MoHUA,Categorial,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,2019
Mobility,Municipal Budget/ funds of last financial year show allocation as per plan,Categorial,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,2019
Mobility,Utilization certificate for project implementation of 50% projects,Categorial,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,2019
Mobility,Rapid study for identification of sources of pollution,Categorial,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,2019
Mobility,Clean Air Action Plan,Categorial,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,2019
Mobility,DPRs showing initiation of implementation measure,Categorial,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,2019
Mobility,Air Quality Monitoring mechanism linked with ICCC,Categorial,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,2019
